gpu,strike,hour,touch_price,terminal_tail_upper_normalized,wedge_lower_bound
B200,7.5,496513,0.501,0.07716749886518386,0.42383250113481613
B200,7.5,496514,0.499,0.07737824305871643,0.42162175694128357
B200,7.5,496515,0.4975,0.08111762054979721,0.4163823794502028
B200,7.5,496516,0.4955,0.08050089445438283,0.41499910554561714
B200,7.5,496517,0.5125,0.08126410835214447,0.4312358916478555
B200,7.5,496518,0.5125,0.08093525179856115,0.4315647482014388
B200,7.5,496519,0.5125,0.08075370121130551,0.4317462987886944
B200,7.5,496520,0.5115,0.08130081300813008,0.4301991869918699
B200,7.5,496521,0.5115,0.081008100810081,0.4304918991899189
B200,7.5,496522,0.5115,0.08035714285714285,0.4311428571428571
B200,7.5,496523,0.5115,0.08050089445438283,0.43099910554561716
B200,7.5,496524,0.508,0.08086253369272237,0.42713746630727767
B200,7.5,496525,0.505,0.08108108108108107,0.4239189189189189
B200,7.5,496526,0.4975,0.07274283269148481,0.4247571673085152
B200,7.5,496527,0.4975,0.07678410117434509,0.4207158988256549
B200,7.5,496528,0.5115,0.07216959855660803,0.4393304014433919
B200,7.5,496529,0.5115,0.07239819004524888,0.43910180995475107
B200,7.5,496530,0.5115,0.07269422989550205,0.4388057701044979
B200,7.5,496531,0.5115,0.07032967032967033,0.44117032967032965
B200,7.5,496532,0.51,0.07479102507699076,0.43520897492300925
B200,7.5,496534,0.5115,0.07498897220996913,0.4365110277900308
B200,7.5,496535,0.5115,0.08248423095584669,0.4290157690441533
B200,7.5,496536,0.499,0.07981220657276997,0.41918779342723
B200,7.5,496537,0.5,0.07709750566893424,0.42290249433106575
B200,7.5,496538,0.5015,0.07692307692307693,0.424576923076923
B200,7.5,496539,0.5,0.07727272727272727,0.42272727272727273
B200,7.5,496540,0.5015,0.07664562669071236,0.4248543733092876
B200,7.5,496541,0.5015,0.07596067917783736,0.4255393208221626
B200,7.5,496542,0.5005,0.08076009501187649,0.41973990498812347
B200,7.5,496543,0.5,0.07981220657276997,0.42018779342723
B200,7.5,496544,0.5,0.07984969469234383,0.4201503053076562
B200,7.5,496545,0.5,0.08011310084825637,0.4198868991517436
B200,7.5,496546,0.5,0.0794021485287249,0.4205978514712751
B200,7.5,496547,0.5,0.07910656119125176,0.42089343880874824
B200,7.5,496548,0.494,0.07884972170686456,0.41515027829313544
B200,7.5,496549,0.493,0.0795507721104352,0.4134492278895648
B200,7.5,496550,0.4915,0.08,0.4115
B200,7.5,496551,0.4925,0.07966260543580132,0.41283739456419866
B200,7.5,496552,0.4925,0.07973733583489681,0.4127626641651032
B200,7.5,496553,0.4915,0.0800376647834275,0.4114623352165725
B200,7.5,496554,0.4925,0.0800376647834275,0.4124623352165725
B200,7.5,496555,0.4925,0.08015087223008016,0.41234912776991983
